case_key,mode,left_source_label,right_source_label,n_left,n_right,micro_precision,micro_recall,micro_f1,macro_f1,sigma,TP,FP,FN,cas_threshold
2224413,one_to_one,B,C,49,6,0.0,0.0,,,2.0,0,6,49,0.35
2326975,one_to_one,B,C,54,54,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.4,2.0,2,52,52,0.35
2346045_2,one_to_one,B,C,34,19,0.0,0.0,,,2.0,0,19,34,0.35
2346048,one_to_one,B,C,11,33,0.0,0.0,,,2.0,0,33,11,0.35
2346168,one_to_one,B,C,38,17,0.0,0.0,,,2.0,0,17,38,0.35
2346175,one_to_one,B,C,41,43,0.023255813953488372,0.024390243902439025,0.02380952380952381,0.2857142857142857,2.0,1,42,40,0.35
2346972,one_to_one,B,C,24,11,0.0,0.0,,,2.0,0,11,24,0.35
2356047,one_to_one,B,C,27,16,0.0,0.0,,,2.0,0,16,27,0.35
2385991,one_to_one,B,C,40,23,0.0,0.0,,,2.0,0,23,40,0.35
S2402511,one_to_one,B,C,23,21,0.0,0.0,,,2.0,0,21,23,0.35
S2415106A01,one_to_one,B,C,83,42,0.0,0.0,,,2.0,0,42,83,0.35
